Nr	Race	UnitName	Fig	Me	Ra	Df	Re	Hp	Th	Move	RangedType	Shots	Gaze/Poison	Cost	Upkeep	Parm1	Parm2	Movement	Immunities	Attributes	Abilities	Attacks	TypeCode	Scout	Transport	Construction	
157	Chaos	Fire Giant	  1	 18	 12	  5	  7	 18	+1	  3.0	Chaos Fireball	  3	   	  210	  3	   6	    	Mountaineer	Fire Imm	Fire Ball Spell	Summoned Unit, Wall Crusher		28006	  2	   	   	
158	Sorcery	Water Elemental	  1	 14	 14	  7	  7	 15	+2	  3.0	Nature Icebolt	  4	   	  210	  3	   6	    	Swimming	Fire Imm, Poison Imm	Weapon Imm	Summoned Unit		28007	  1	   	   	
159	Chaos	Chaos Spawn	  1	  1	  4	  8	 12	 22	  	  2.0	Multiple Gaze	   	  4	  238	  8	   6	    	Flying	Illusions Imm	Flyer, Cause Fear Spell	Summoned Unit	Poison attack	28008	  4	   	   	
160	Chaos	Chimera	  4	 10	  6	  5	  8	  8	+1	  3.0	Fire Breath	   	   	  210	  4	   6	    	Flying		Flyer	Summoned Unit		28009	  1	   	   	
161	Chaos	Doom Bat	  1	 16	   	  7	 10	 30	+2	  6.0		   	   	  360	  7	   6	    	Flying		Flyer, Immolation	Summoned Unit	Automatic Damage	28010	  2	   	   	
162	Chaos	Efreet	  1	 15	 18	  7	  9	 27	+2	  4.0	Chaos Fireball	  8	   	  330	  9	   6	    	Flying	Fire Imm	Flyer, Caster 40 MP, Immolation	Summoned Unit		28011	  3	   	   	
163	Chaos	Hydra	  9	  9	  6	  4	 12	 10	+1	  2.0	Fire Breath	   	  7	  300	 11	   6	    				Summoned Unit, Regeneration	Simultaneous Damage COMBAT	28012	  1	   	   	
164	Chaos	Great Drake	  1	 35	 35	 11	 15	 40	+3	  4.0	Fire Breath	   	   	  550	 15	   6	    	Flying		Flyer	Summoned Unit	Simultaneous Damage COMBAT	28013	  3	   	   	
165	Death	Skeletons	  7	  3	   	  4	  3	  1	+1	  2.0		   	   	   40	  0	   6	    		Missiles Imm, Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit		28014	  1	   	   	
166	Death	Ghouls	  4	  5	  4	  3	  6	  3	  	  2.0	Chaos Deathbolt	  4	  1	  100	  1	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit, Create Undead	Poison attack	28015	  1	   	   	
167	Death	Night Stalker	  1	  7	   	  5	  8	 13	+1	  3.0	Death Gaze	   	 -3	  239	  1	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm	Summoned Unit, Invisibility		28016	  1	   	   	
168	Death	Werewolves	  6	  6	   	  3	  4	  5	+2	  3.0		   	   	  130	  2	   6	    		Cold Imm, Death Imm	Weapon Imm	Summoned Unit, Regeneration		28017	  1	   	   	
169	Death	Demon	  1	 14	   	  5	  7	 12	+1	  2.0		   	   	  238	  3	   6	    	Flying	Missiles Imm, Illusions Imm, Death Imm	Weapon Imm, Flyer, Caster 40 MP	Summoned Unit		28018	  1	   	   	
170	Death	Wraiths	  4	 10	   	  6	  8	  8	+2	  5.0		   	 -3	  360	  5	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Non Corporeal	Life Stealing	28019	  1	   	   	
171	Death	Shadow Demons	  4	  5	  5	  4	  6	  5	+2	  2.0	Chaos Deathbolt	  8	  2	  240	  4	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Plane Shift, Non Corporeal, Regeneration		28020	  1	   	   	
172	Death	Death Knights	  4	 12	   	  9	 10	  8	+3	  5.0		   	 -5	  550	  8	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Non Corporeal	Armor Piercing, First Strike, Life Stealing, Simultaneous Damage COMBAT	28021	  3	   	   	
173	Death	Demon Lord	  1	 25	 20	  8	 13	 35	+3	  4.0	Chaos Deathbolt	  8	 -2	  610	 18	   6	    	Flying	Missiles Imm, Illusions Imm, Death Imm	Weapon Imm, Flyer, Summon Demons 1, Summon Demons 2, Cause Fear Spell	Summoned Unit, Land Corruption	Life Stealing, Simultaneous Damage COMBAT	28022	  5	   	   	
174	Death	Zombies	  6	  4	   	  3	  3	  3	+1	  1.0		   	   	   70	  0	   6	    		Illusions Imm, Cold Imm, Death Imm		Summoned Unit, Create Undead		28023	  1	   	   	
175	Life	Unicorns	  4	  6	   	  4	  7	  8	+2	  4.0		   	  2	  210	  4	   6	    	Teleporting	Poison Imm	Resistance to All	Summoned Unit		28024	  2	   	   	
176	Life	Guardian Spirit	  1	  7	   	  6	 10	 10	+3	  2.0		   	  1	   55	  1	   6	    		Poison Imm	Resistance to All	Summoned Unit, Meld With Node, Non Corporeal		28025	  1	   	   	
177	Life	Angel	  1	 18	   	  9	 11	 27	+2	  5.0		   	  1	  360	  8	   6	    	Flying	Illusions Imm	Flyer, Caster 20 MP, Caster 40 MP, Holy Bonus	Summoned Unit	Dispel Evil	28026	  4	   	   	
178	Life	Arch Angel	  1	 21	   	 12	 18	 37	+4	  4.0		   	  2	  610	 18	   6	    	Flying	Illusions Imm	Flyer, Caster 40 MP, Holy Bonus	Summoned Unit, Healer, Wind Walking, Negate First Strike	Simultaneous Damage COMBAT	28027	  5	   	   	
179	Nature	War Bears	  3	  7	   	  5	  6	  7	+1	  3.0		   	   	   70	  1	   6	    	Forester			Summoned Unit		28028	  1	   	   	
180	Nature	Sprites	  5	  2	  4	  2	  8	  1	+1	  2.0	Nature Shimmer	  4	   	   69	  2	   6	    	Flying, Forester		Flyer	Summoned Unit		28029	  2	   	   	
181	Nature	Cockatrices	  4	  4	   	  5	  7	  7	+1	  3.0		   	 -4	  210	  4	   6	    	Flying		Flyer	Summoned Unit	Stoning Touch	28030	  1	   	   	
182	Nature	Great Lizard	  1	 18	   	  7	  7	 30	+2	  3.0		   	  2	  240	  5	   6	    				Summoned Unit, Regeneration		28031	  1	   	   	
183	Nature	Giant Spiders	  4	  6	   	  5	  9	  5	+1	  5.0		   	  3	  130	  2	   6	    			Web Spell	Summoned Unit	Poison attack	28032	  1	   	   	
184	Nature	Stone Giant	  1	 20	 20	 12	 10	 25	+2	  3.0	Rock	  3	   	  329	  5	   6	    	Mountaineer	Stoning Imm, Poison Imm		Summoned Unit, Wall Crusher		28033	  2	   	   	
185	Nature	Colossus	  1	 25	 25	 12	 15	 37	+3	  3.0	Rock	  4	   	  610	 12	   6	    	Forester, Mountaineer	Stoning Imm, Illusions Imm, Poison Imm		Summoned Unit, Wall Crusher	First Strike, Simultaneous Damage COMBAT	28034	  4	   	   	
186	Nature	Gorgons	  3	 15	   	  7	  9	 14	+2	  3.0	Stoning Gaze	   	 -3	  450	  8	   6	    				Summoned Unit	Simultaneous Damage COMBAT	28035	  1	   	   	
187	Nature	Earth Elemental	  1	 25	   	  4	  8	 30	+1	  1.0		   	   	  237	  5	   6	    		Stoning Imm, Poison Imm		Summoned Unit, Wall Crusher		28036	  1	   	   	
188	Nature	Behemoth	  1	 25	   	 15	 13	 42	+2	  3.0		   	  3	  450	 12	   6	    			Caster 40 MP	Summoned Unit, Regeneration	Simultaneous Damage COMBAT	28037	  1	   	   	
189	Nature	Great Wyrm	  1	 36	   	  8	 14	 45	+3	  3.0		   	 25	  610	 15	   6	    	Merging			Summoned Unit	Armor Piercing, Poison attack, Simultaneous Damage COMBAT	28038	  1	   	   	
190	Sorcery	Floating Island	  1	   	   	  0	  9	 45	  	  3.0		   	   	   30	  1	   6	    	Sailing	Stoning Imm, Death Imm, Poison Imm		Summoned Unit		28039	  1	  8	   	
191	Sorcery	Phantom Beast	  1	 18	   	  0	  6	 25	+1	  2.0		   	   	   70	  3	   6	    	Swimming	Stoning Imm, Death Imm, Poison Imm		Summoned Unit, Non Corporeal	Illusionary attack	28040	  1	   	   	
192	Sorcery	Phantom Warriors	  7	  3	   	  0	  4	  1	  	  2.0		   	   	   30	  1	   6	    	Swimming	Stoning Imm, Death Imm, Poison Imm		Summoned Unit, Non Corporeal	Illusionary attack	28041	  1	   	   	
193	Sorcery	Storm Giant	  1	 18	 18	  7	  9	 25	+2	  3.0	Chaos Lightning	  5	   	  330	  5	   6	    		Missiles Imm		Summoned Unit, Wall Crusher	Armor Piercing	28042	  2	   	   	
194	Sorcery	Air Elemental	  1	 15	   	  7	  9	 10	+1	  5.0		   	   	  239	  5	   6	    	Flying	Stoning Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Invisibility, Non Corporeal	Armor Piercing	28043	  1	   	   	
195	Sorcery	Djinn	  1	 18	 15	  8	 12	 29	+3	  4.0	Sorcery Illusion	  8	   	  450	  9	   6	    	Flying, Teleporting		Flyer, Caster 20 MP, Caster 40 MP	Summoned Unit, Wind Walking	Simultaneous Damage COMBAT	28044	  3	   	   	
196	Sorcery	Sky Drake	  1	 28	 21	 10	 14	 30	+3	  4.0	Lightning Breath	   	   	  611	 15	   6	    	Flying	Illusions Imm, Magic Imm	Flyer	Summoned Unit	Simultaneous Damage COMBAT	28045	  3	   	   	
197	Sorcery	Nagas	  3	  5	   	  4	  7	  5	+1	  3.0		   	  3	   70	  2	   6	    	Swimming			Summoned Unit	First Strike, Poison attack	28046	  1	   	   	
