Nr	Race	UnitName	Fig	Me	Ra	Df	Re	Hp	Th	Move	RangedType	Shots	Gaze/Poison	Cost	Upkeep	Parm1	Parm2	Movement	Immunities	Attributes	Abilities	Attacks	TypeCode	Scout	Transport	Construction	
164	Chaos	Great Drake	  1	 30	 30	 10	 12	 30	+3	  2.0	Fire Breath	   	   	  900	 30	   6	    	Flying		Flyer	Summoned Unit		27863	  1	   	   	
165	Death	Skeletons	  6	  3	   	  4	  5	  1	+1	  1.0		   	   	   25	  1	   6	    		Missiles Imm, Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit		27864	  1	   	   	
166	Death	Ghouls	  4	  4	   	  3	  6	  3	+1	  1.0		   	  1	   80	  1	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit, Create Undead	Poison attack	27865	  1	   	   	
167	Death	Night Stalker	  1	  7	  1	  3	  8	 10	+1	  2.0	Death Gaze	   	 -2	  250	  1	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit, Invisibility		27866	  1	   	   	
168	Death	Werewolves	  6	  5	   	  1	  6	  5	+1	  2.0		   	   	  250	  5	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm	Summoned Unit, Regeneration		27867	  1	   	   	
169	Death	Demon	  1	 14	   	  5	  7	 12	+1	  2.0		   	   	   80	  3	   6	    	Flying	Missiles Imm, Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit		27868	  1	   	   	
170	Death	Wraiths	  4	  7	   	  6	  8	  8	+2	  2.0		   	 -3	  500	  5	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Non Corporeal	Life Stealing	27869	  1	   	   	
171	Death	Shadow Demons	  4	  5	  4	  4	  8	  5	+2	  1.0	Chaos Deathbolt	  8	   	  325	  7	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Plane Shift, Non Corporeal, Regeneration		27870	  1	   	   	
172	Death	Death Knights	  4	  9	   	  8	 10	  8	+3	  3.0		   	 -4	  600	  8	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit	Armor Piercing, First Strike, Life Stealing	27871	  1	   	   	
173	Death	Demon Lord	  1	 20	 10	 10	 12	 20	+3	  2.0	Chaos Deathbolt	  8	 -5	  900	 15	   6	    	Flying	Illusions Imm, Cold Imm, Death Imm, Poison Imm	Weapon Imm, Flyer, Summon Demons 1, Summon Demons 2, Cause Fear Spell	Summoned Unit	Life Stealing	27872	  1	   	   	
174	Death	Zombies	  6	  4	   	  3	  3	  3	+1	  1.0		   	   	   30	  0	   6	    		Illusions Imm, Cold Imm, Death Imm, Poison Imm		Summoned Unit		27873	  1	   	   	
175	Life	Unicorns	  4	  5	   	  3	  7	  6	+2	  2.0		   	  2	  250	  5	   6	    	Teleporting	Poison Imm	Resistance to All	Summoned Unit		27874	  1	   	   	
176	Life	Guardian Spirit	  1	 10	   	  4	 10	 10	  	  1.0		   	  1	   50	  1	   6	    			Resistance to All	Summoned Unit, Meld With Node, Non Corporeal		27875	  1	   	   	
177	Life	Angel	  1	 13	   	  7	  8	 15	+2	  3.0		   	  1	  550	 15	   6	    	Flying	Illusions Imm	Flyer, Holy Bonus	Summoned Unit	Dispel Evil	27876	  1	   	   	
178	Life	Arch Angel	  1	 15	   	 10	 12	 18	+3	  4.0		   	  2	  950	 20	   6	    	Flying	Illusions Imm	Flyer, Caster 40 MP, Holy Bonus	Summoned Unit		27877	  1	   	   	
179	Nature	War Bears	  2	  7	   	  3	  6	  8	  	  2.0		   	   	   70	  2	   6	    	Forester			Summoned Unit		27878	  1	   	   	
180	Nature	Sprites	  4	  2	  3	  2	  8	  1	+1	  2.0	Nature Shimmer	  4	   	  100	  3	   6	    	Flying, Forester		Flyer	Summoned Unit		27879	  1	   	   	
181	Nature	Cockatrices	  4	  4	   	  3	  7	  3	+1	  2.0		   	 -3	  275	  8	   6	    	Flying		Flyer	Summoned Unit	Stoning Touch	27880	  1	   	   	
182	Nature	Basilisk	  1	 15	  1	  4	  7	 30	+1	  2.0	Stoning Gaze	   	 -1	  325	  7	   6	    				Summoned Unit		27881	  1	   	   	
183	Nature	Giant Spiders	  2	  4	   	  3	  7	 10	+1	  2.0		   	  4	  200	  4	   6	    			Web Spell	Summoned Unit	Poison attack	27882	  1	   	   	
184	Nature	Stone Giant	  1	 15	 15	  8	  9	 20	+2	  2.0	Rock	  2	   	  450	  9	   6	    	Mountaineer	Stoning Imm, Poison Imm		Summoned Unit, Wall Crusher		27883	  1	   	   	
185	Nature	Colossus	  1	 20	 20	 10	 15	 30	+3	  2.0	Rock	  2	   	  800	 17	   6	    		Stoning Imm, Poison Imm		Summoned Unit, Wall Crusher	First Strike	27884	  1	   	   	
186	Nature	Gorgons	  4	  8	  1	  7	  9	  9	+2	  2.0	Stoning Gaze	   	 -2	  599	 15	   6	    	Flying		Flyer	Summoned Unit		27885	  1	   	   	
187	Nature	Earth Elemental	  1	 25	   	  4	  8	 30	+1	  1.0		   	   	  160	  7	   6	    		Stoning Imm, Poison Imm		Summoned Unit, Wall Crusher		27886	  1	   	   	
188	Nature	Behemoth	  1	 25	   	  9	 10	 45	+2	  2.0		   	   	  700	 15	   6	    				Summoned Unit		27887	  1	   	   	
189	Nature	Great Wyrm	  1	 25	   	 12	 12	 45	+3	  3.0		   	 15	 1000	 20	   6	    	Merging			Summoned Unit	Poison attack	27888	  1	   	   	
190	Sorcery	Floating Island	  1	   	   	  0	 10	 45	  	  2.0		   	   	   50	  5	   6	    	Sailing	Stoning Imm, Death Imm, Poison Imm		Summoned Unit		27889	  1	  8	   	
191	Sorcery	Phantom Beast	  1	 18	   	  0	  8	 20	+1	  2.0		   	   	  225	  4	   6	    		Stoning Imm, Death Imm, Poison Imm		Summoned Unit, Non Corporeal	Illusionary attack	27890	  1	   	   	
192	Sorcery	Phantom Warriors	  6	  3	   	  0	  6	  1	  	  1.0		   	   	   20	  2	   6	    		Stoning Imm, Death Imm, Poison Imm		Summoned Unit, Non Corporeal	Illusionary attack	27891	  1	   	   	
193	Sorcery	Storm Giant	  1	 12	 10	  7	  9	 20	+2	  2.0	Chaos Lightning	  4	   	  500	 10	   6	    				Summoned Unit, Wall Crusher	Armor Piercing	27892	  1	   	   	
194	Sorcery	Air Elemental	  1	 15	   	  8	  9	 10	+1	  5.0		   	   	  170	  8	   6	    	Flying	Stoning Imm, Poison Imm	Weapon Imm, Flyer	Summoned Unit, Invisibility		27893	  1	   	   	
195	Sorcery	Djinn	  1	 15	  8	  8	 10	 20	+3	  3.0	Nature Icebolt	   	   	  650	 17	   6	    	Flying, Teleporting		Flyer, Caster 20 MP	Summoned Unit, Wind Walking		27894	  1	   	   	
196	Sorcery	Sky Drake	  1	 20	 20	 10	 14	 25	+3	  4.0	Lightning Breath	   	   	 1000	 25	   6	    	Flying	Illusions Imm, Magic Imm	Flyer	Summoned Unit		27895	  1	   	   	
197	Sorcery	Nagas	  2	  4	   	  3	  7	  6	+1	  1.0		   	  4	  120	  2	   6	    	Swimming			Summoned Unit	First Strike, Poison attack	27896	  1	   	   	
